Date,low,high,open,close,volume
2021-06-21,1700.0,1996.67,1885.49,1881.65,620163.37396399
2021-06-22,1823.97,2045.0,1881.24,1968.37,287217.09052056
2021-06-23,1884.77,2035.39,1968.36,1988.81,208623.5990145
2021-06-24,1792.0,2019.39,1988.81,1809.07,370739.74744615
2021-06-25,1717.41,1851.97,1809.07,1829.17,238207.16665611
2021-06-26,1807.89,1988.62,1829.0,1984.71,177413.91064922
2021-06-27,1957.24,2143.67,1984.84,2083.79,278261.98240028
2021-06-28,2074.53,2247.03,2083.99,2166.18,215702.68781407
2021-06-29,2089.16,2288.0,2165.64,2276.72,254873.14574192
2021-06-30,2072.06,2277.44,2276.74,2107.01,240720.57482006
2021-07-01,2017.07,2159.43,2107.75,2156.0,192127.19122379
2021-07-02,2113.18,2239.69,2156.0,2226.95,98666.79185779
2021-07-03,2190.56,2389.22,2227.46,2323.15,126325.73621254
2021-07-04,2160.0,2324.44,2323.27,2197.34,156103.9362224
2021-07-05,2195.02,2350.0,2197.34,2321.84,165693.46720418
2021-07-06,2294.16,2411.19,2322.2,2316.82,159702.0440841
2021-07-07,2084.0,2325.46,2317.64,2116.95,223830.00371273
2021-07-08,2050.0,2189.28,2116.3,2147.38,190883.32617917
2021-07-09,2075.0,2192.98,2147.38,2110.55,116594.48589325
2021-07-10,2081.51,2173.37,2110.56,2140.82,89340.97126887
2021-07-11,2002.0,2169.0,2141.45,2030.72,174561.37955667
2021-07-12,1917.4,2047.72,2030.74,1940.76,217891.77262081
2021-07-13,1865.5,2019.9,1940.34,1994.11,195351.53451543
2021-07-14,1880.0,2039.99,1994.12,1918.07,229477.74435019
2021-07-15,1850.15,1965.35,1918.99,1877.22,184221.68200937
2021-07-16,1847.0,1919.0,1877.22,1899.75,113724.29716977
2021-07-17,1878.67,1994.4,1899.75,1891.46,124679.10845278
2021-07-18,1805.47,1918.65,1891.46,1818.44,191611.5191467
2021-07-19,1718.41,1840.79,1818.45,1786.46,278984.79921803
2021-07-20,1754.27,2033.16,1786.51,1996.18,263702.46075895
2021-07-21,1948.68,2046.74,1996.21,2024.75,196355.49626351
2021-07-22,1995.0,2131.51,2024.75,2125.81,177278.18951605
2021-07-23,2107.13,2200.0,2125.82,2185.95,151102.52474975
2021-07-24,2108.08,2197.05,2186.76,2193.03,129013.98912781
2021-07-25,2172.99,2437.99,2192.38,2228.26,427763.06726806
2021-07-26,2152.0,2321.0,2228.71,2300.59,253782.97390467
2021-07-27,2245.1,2347.88,2300.28,2300.42,205833.21106135
2021-07-28,2267.78,2399.99,2300.76,2383.32,172925.7166805
2021-07-29,2317.51,2474.82,2383.47,2463.9,222140.744211
2021-07-30,2422.31,2555.0,2463.88,2533.74,134549.11974341
2021-07-31,2511.5,2699.0,2533.54,2555.43,260742.0604239
2021-08-01,2503.7,2666.36,2555.99,2608.12,234264.49105555
2021-08-02,2445.58,2633.0,2608.12,2508.31,237814.06443089
2021-08-03,2455.94,2771.42,2508.16,2724.71,250129.62895073
2021-08-04,2530.69,2845.0,2724.71,2829.35,326176.98753449
